,ID,縣市,土地面積,移轉層次,總樓層數,主要用途,主要建材,建物型態,屋齡,建物面積,車位面積,車位個數,主建物面積,陽台面積,附屬建物面積,經度,緯度,站點級別,與大眾交通最短距,與國小最短距,國小總人數,與國中最短距,國中總人數,與高中最短距,高中總人數,與大學最短距,大學總人數,與atm最短距,與post最短距,與bank最短距,與腳踏車站最短距,與醫療機構最短距,與便利超商最短距,<0.5的超商數量,<0.5公車站數,與政府最短距,縣市_區域,與百貨最短距,與高鐵最短距,人口密度,老化指數,平均收入
2577,PU-2578,6,-0.8841842333934987,10,15,10,0,0,4.416666666666667,-0.4803826039052852,0.7084846459207012,1.0,-0.6448509228968776,-1.0346222877713689,-0.4384519028208025,120.31829798994698,22.72451210821861,3.0,0.31,0.52,107.0,0.33,148.0,0.66,0.0,3.59,30.0,0.05,0.88,0.81,0.21,0.55,0.05,3.0,15.0,11.58,116,4.0,4.16,924.21,161.78,0.004997252
2578,PU-2579,0,3.605092879323667,4,5,2,4,1,24.25,0.2354920280833268,1.1178574852106402,1.0,0.3783669281749922,0.8611145278340638,-0.4384519028208025,121.57835276863598,25.07093252000584,2.0,1.07,0.94,224.0,1.22,568.0,0.99,495.0,1.47,539.0,0.15,0.76,0.29,0.27,0.16,0.21,12.0,323.0,3.95,21,3.97,3.46,9126.87,166.1,0.006299707
2579,PU-2580,0,0.4202133104821034,3,4,2,4,1,47.75,-0.9796563239679688,-0.8193256863726953,0.0,-0.6949226839252771,-0.0210600299229196,-0.4384519028208025,121.55994268061872,25.02881505400968,1.0,0.59,0.18,106.0,0.72,0.0,0.64,89.0,0.42,581.0,0.1,0.55,0.25,0.06,0.17,0.1,23.0,121.0,1.09,20,1.15,4.83,9126.87,166.1,0.006299707
2580,PU-2581,1,-0.9327800957533112,9,13,2,4,0,30.33333333333333,-0.891751975096173,-0.8193256863726953,0.0,-0.7090672491875369,-0.4612941419177006,-0.4384519028208025,121.44960075522404,24.986378086715675,2.0,0.15,0.31,398.0,1.09,120.0,0.47,738.0,1.04,51.0,0.01,0.34,0.15,0.05,0.09,0.01,27.0,78.0,3.24,64,3.64,3.39,1946.61,147.86,0.005073707
2581,PU-2582,1,-0.8671204043749693,7,21,2,4,0,26.58333333333333,-0.4660191482072793,-0.8193256863726953,0.0,-0.328861334937995,0.0198919804951995,-0.0562609995416952,121.50128014997787,25.06007212700145,2.0,0.34,0.28,119.0,1.15,181.0,1.15,427.0,5.66,1556.0,0.13,0.36,0.34,0.09,0.09,0.13,18.0,48.0,6.48,60,6.07,2.07,1946.61,147.86,0.005073707
2582,PU-2583,2,0.5429286780435293,12,13,10,4,0,4.916666666666667,0.0820903212286243,0.4922122025222426,1.0,-0.2513491173008113,0.1086213364011243,0.1999563657850809,120.95130868424388,24.795635773868067,1.0,2.15,0.74,132.0,0.56,112.0,0.56,264.0,2.31,449.0,0.1,0.96,0.44,0.4,0.12,0.1,6.0,17.0,2.17,78,2.95,9.17,4344.33,87.03,0.006841633
2583,PU-2584,0,0.5683561866373378,2,5,2,4,1,36.41666666666666,-0.1730046519679597,-0.8193256863726953,0.0,0.3090585583899194,0.0864389974246432,-0.4384519028208025,121.55963310266128,25.01735959127417,2.0,0.15,0.95,160.0,1.09,152.0,1.08,89.0,0.91,581.0,0.16,0.85,0.56,0.09,0.36,0.15,6.0,89.0,2.31,26,2.28,5.49,9126.87,166.1,0.006299707
2584,PU-2585,7,-0.8457065006348145,10,16,2,4,0,4.0,-0.6791728307656862,0.98345960967017,1.0,-0.8236382278118407,-0.9578372682373956,-0.4384519028208025,120.24611007354748,23.011461109822573,4.0,2.39,0.66,320.0,1.06,181.0,1.06,105.0,1.68,32.0,0.08,1.05,0.06,1.54,0.1,0.08,7.0,24.0,6.65,40,3.64,10.46,845.48,156.53,0.00456428
2585,PU-2586,4,1.9742474628301945,2,20,10,4,0,4.0,0.6451377845904541,2.281094270060921,2.0,0.2524802973408804,-0.1353843923401689,0.7059856623054632,120.62763714536672,24.13617014389318,4.0,2.82,0.98,140.0,1.34,219.0,1.77,1044.0,1.84,239.0,0.48,1.53,1.17,0.15,0.52,0.48,1.0,10.0,3.47,4,3.64,2.9,1270.7,111.76,0.005039031
2586,PU-2587,5,0.0517307379298548,4,13,2,4,0,9.916666666666666,0.4997796129266348,0.6173412590599222,1.0,0.311038797526636,-0.0910197143872065,1.096717144428797,121.2967265153796,24.96557191510318,1.0,3.17,0.73,253.0,1.77,652.0,2.7,780.0,2.99,261.0,0.19,0.56,0.31,0.13,0.08,0.18,10.0,82.0,3.08,85,3.21,9.86,1868.59,101.89,0.005368094
2587,PU-2588,2,1.0635677316046663,4,5,2,4,1,28.166666666666668,-0.0684386944864771,0.6466925192354274,1.0,0.2391844059943563,0.1393353442147136,-0.4384519028208025,121.01561569551303,24.78342713383988,4.0,0.82,0.41,138.0,0.48,405.0,0.52,186.0,1.87,2653.0,0.15,1.0,0.06,0.32,0.09,0.16,7.0,19.0,5.38,78,5.1,3.71,4344.33,87.03,0.006841633
2588,PU-2589,6,0.1992247079111455,3,15,2,4,0,28.25,1.2972386732799206,0.0967425917364897,1.0,0.8312759078725495,-0.1302653910379041,7.775449800613422,120.30898990474417,22.660788209864368,2.0,0.71,0.52,247.0,0.28,610.0,1.05,468.0,1.49,221.0,0.08,0.6,0.1,0.03,0.05,0.07,15.0,42.0,4.48,114,1.19,3.03,924.21,161.78,0.004997252
2589,PU-2590,6,-0.2085767720697148,3,16,2,4,0,25.75,0.3475269825277725,0.3593591301489038,1.0,-0.2819013782672923,0.304849719654612,5.749197469820837,120.34092875998184,22.62936944835251,3.0,0.48,0.74,241.0,0.4,207.0,0.48,648.0,2.14,458.0,0.08,0.26,0.18,0.18,0.03,0.05,6.0,101.0,3.12,120,5.95,7.29,924.21,161.78,0.004997252
2590,PU-2591,0,-1.509393315207625,12,15,0,4,0,16.0,-1.5467255549252403,-0.8193256863726953,0.0,-1.8318628397057155,-0.7906165590300754,-0.4384519028208025,121.53432519075406,25.014392164417703,1.0,0.04,0.11,77.0,0.58,105.0,0.34,324.0,0.64,3666.0,0.04,0.01,0.18,0.02,0.03,0.08,14.0,197.0,3.99,19,3.12,4.13,9126.87,166.1,0.006299707
2591,PU-2592,4,-1.14261712555723,11,19,2,4,0,25.58333333333333,-0.6705547573468827,-0.8193256863726953,0.0,-1.007800467526463,-0.4476434717783275,-0.4384519028208025,120.67443907358386,24.12941482467248,4.0,0.8,1.07,151.0,0.34,450.0,0.81,675.0,0.66,966.0,0.03,0.66,0.12,0.12,0.05,0.03,9.0,49.0,4.57,3,3.16,6.21,1270.7,111.76,0.005039031
2592,PU-2593,0,1.8308151648265536,15,15,4,4,0,2.75,1.1220045137642487,0.6605957477396139,1.0,0.5483846026273546,0.8372258550901609,0.8020671743030044,121.5383735522893,24.997585263538408,2.0,0.49,0.12,115.0,0.61,441.0,0.85,0.0,1.14,87.0,0.08,0.63,0.43,0.19,0.12,0.08,10.0,116.0,5.18,27,4.89,6.01,9126.87,166.1,0.006299707
2593,PU-2594,0,0.5220194791053305,3,5,2,4,1,38.16666666666666,-0.5539234970790751,-0.8193256863726953,0.0,-0.0199440296102421,0.0881453311920648,-0.4384519028208025,121.61738841777368,25.0711905961607,2.0,0.72,0.25,303.0,0.23,319.0,0.87,492.0,3.33,539.0,0.12,0.34,0.34,0.18,0.12,0.12,19.0,135.0,6.5,21,6.34,2.23,9126.87,166.1,0.006299707
2594,PU-2595,0,-0.9606590276709092,2,7,2,4,2,7.083333333333333,-1.3864293893354949,-0.8193256863726953,0.0,-1.828185252737528,-0.9800196072138766,-0.2377482999814945,121.52944903057843,25.039435501614378,1.0,0.51,0.44,87.0,0.97,442.0,0.67,807.0,0.47,8.0,0.06,0.43,0.06,0.17,0.1,0.14,18.0,143.0,3.54,19,1.38,1.58,9126.87,166.1,0.006299707
2595,PU-2596,1,-0.7548836698446404,4,14,2,4,0,27.5,-0.7527137239394761,-0.8193256863726953,0.0,-0.6100552923517187,-0.6131578472182257,-0.4384519028208025,121.61948283218432,25.00074543094168,1.0,4.04,0.26,130.0,0.16,128.0,2.79,113.0,1.54,127.0,0.17,1.04,0.39,0.18,0.19,0.17,9.0,52.0,15.63,74,15.39,11.59,1946.61,147.86,0.005073707
2596,PU-2597,1,0.4537881965932102,4,5,2,4,1,42.083333333333336,-0.3269808970505825,-0.8193256863726953,0.0,0.1379093187165765,1.3610703216886022,-0.4384519028208025,121.5231801995505,24.99129268304356,2.0,0.21,0.41,234.0,1.44,662.0,1.02,432.0,1.94,35.0,0.08,0.22,0.77,0.2,0.08,0.08,12.0,80.0,6.32,61,6.19,6.33,1946.61,147.86,0.005073707
2597,PU-2598,6,1.2871519588714002,6,14,2,4,0,27.416666666666668,1.9200381123454544,-0.2122180416898795,1.0,2.2126341513848367,1.7808284284743232,0.3366056272926953,120.37397111393504,22.619540861767163,3.0,0.61,0.94,158.0,0.63,638.0,2.3,639.0,2.47,170.0,0.04,0.57,0.94,0.08,0.38,0.04,2.0,13.0,6.35,120,9.18,10.11,924.21,161.78,0.004997252
2598,PU-2599,1,0.2336888358161757,7,9,2,4,2,22.5,0.3774029703796245,0.2373196799454878,1.0,0.5625291678896143,0.4891337665361482,-0.4384519028208025,121.66596344064268,25.07399595079298,4.0,0.46,0.59,239.0,1.05,373.0,0.56,46.0,10.0,127.0,0.13,0.26,0.32,0.05,0.15,0.06,12.0,107.0,21.4,71,21.05,15.29,1946.61,147.86,0.005073707
2599,PU-2600,1,-0.957702899545164,3,12,10,4,0,4.333333333333333,-0.8251055406574258,0.0179576302127656,1.0,-1.1509434679805313,-0.8520445746572543,0.4604440205339697,121.48048708892506,25.07562404381836,2.0,0.54,0.16,251.0,0.5,123.0,0.5,106.0,6.08,3550.0,0.05,0.6,0.21,0.12,0.21,0.04,18.0,69.0,7.24,60,6.89,4.79,1946.61,147.86,0.005073707
2600,PU-2601,0,-1.204984218941856,2,18,4,4,0,25.5,-0.7906332469822116,-0.8193256863726953,0.0,-1.0335435763037757,-1.6420771089734696,-0.4384519028208025,121.57518882994424,25.040791222267323,2.0,0.1,0.53,78.0,0.57,366.0,0.31,636.0,2.19,581.0,0.02,0.15,0.02,0.04,0.01,0.04,27.0,129.0,1.13,20,0.91,3.49,9126.87,166.1,0.006299707
2601,PU-2602,6,-0.1598847754619104,7,15,10,4,0,7.0,0.835884476259972,1.2769722114252209,1.0,0.5509306243745614,-0.6199831822879123,0.2341186811619844,120.3169576691522,22.66892287837484,3.0,1.37,0.69,246.0,1.37,675.0,1.39,487.0,0.27,221.0,0.2,0.42,0.12,0.24,0.07,0.32,8.0,90.0,5.4,107,1.42,2.27,924.21,161.78,0.004997252
2602,PU-2603,12,-0.5651146643089925,7,9,2,4,2,26.416666666666668,0.0217638072969997,-0.8193256863726953,0.0,0.6889815813342164,-0.1405033936424337,-0.4384519028208025,121.75945161827784,25.12778579496509,4.0,1.83,0.4,82.0,1.04,425.0,0.1,345.0,0.79,63.0,0.03,0.44,0.6,5.2,0.07,0.03,8.0,0.0,1.59,46,21.84,17.44,2723.18,196.12,0.004434616
2603,PU-2604,6,-0.9884658589025128,15,15,2,4,0,10.583333333333334,-0.6843436748169683,-0.8193256863726953,0.0,-0.918123923763736,-0.5960945095440096,-0.148072222117123,120.31996268849504,22.596139173005348,3.0,0.5,0.55,72.0,0.78,422.0,0.73,216.0,3.06,458.0,0.36,0.86,0.92,0.22,0.57,0.36,2.0,25.0,2.83,110,8.39,10.28,924.21,161.78,0.004997252
2604,PU-2605,7,0.3848599407831496,7,7,10,4,2,3.6666666666666665,0.2601971718838968,0.8367033087926444,1.0,-0.0807656602379587,0.1393353442147136,-0.4384519028208025,120.20104904479454,22.975345365729325,1.0,2.7,0.2,18.0,0.51,250.0,0.2,153.0,1.27,153.0,0.09,0.77,0.69,0.65,0.09,0.09,4.0,17.0,2.38,34,1.34,10.33,845.48,156.53,0.00456428
2605,PU-2606,1,-0.5330779261657532,6,11,2,4,0,10.083333333333334,-0.6895145188682503,-0.8193256863726953,0.0,-0.8971899671755915,-0.6575225251711883,-0.1053693278959936,121.45745393269978,25.161950833306754,2.0,0.9,1.33,201.0,1.83,158.0,1.83,210.0,1.69,374.0,0.1,0.81,1.48,0.13,0.47,0.12,6.0,109.0,16.69,73,16.39,14.02,1946.61,147.86,0.005073707
2606,PU-2607,0,-0.2038181267941248,2,3,4,1,1,55.583333333333336,-1.1146728075292238,-0.8193256863726953,0.0,-0.6459824881178583,-1.6420771089734696,-0.4384519028208025,121.52801889432791,25.059528057309592,2.0,0.38,0.49,210.0,0.35,70.0,0.67,348.0,1.05,94.0,0.08,0.55,0.22,0.06,0.12,0.08,33.0,138.0,4.41,18,1.65,1.71,9126.87,166.1,0.006299707
2607,PU-2608,4,0.4833975449746589,8,14,2,4,0,8.25,1.1070665198383225,1.514871899163525,2.0,0.7229285379636399,0.7024254874638522,0.4689845993781952,120.63625644558968,24.174303483388687,4.0,5.91,0.36,129.0,0.46,222.0,1.47,308.0,1.17,417.0,0.14,0.3,0.16,0.07,0.02,0.15,12.0,55.0,1.75,15,1.24,7.19,1270.7,111.76,0.005039031
2608,PU-2609,1,0.262024405411734,14,19,2,4,0,26.166666666666668,0.6888026899123917,0.7810903947758978,1.0,1.3857428661531312,0.8867095343453885,-0.2313428658483255,121.65517183927724,25.055924933854595,4.0,1.14,0.6,93.0,0.6,129.0,1.24,273.0,7.76,127.0,0.14,0.88,0.74,0.11,0.53,0.14,2.0,31.0,19.79,71,19.45,13.96,1946.61,147.86,0.005073707
2609,PU-2610,0,3.067077560438026,6,9,2,4,2,12.416666666666666,2.4876818815306456,0.8938610259765228,1.0,1.9817948463047568,1.7825347622417451,1.0689602631850623,121.53189798383836,25.12002002249392,2.0,1.74,0.45,233.0,0.67,455.0,1.24,36.0,1.12,77.0,0.14,0.29,0.13,0.15,0.08,0.16,15.0,190.0,9.73,24,8.06,8.15,9126.87,166.1,0.006299707
2610,PU-2611,5,-0.3786622903290588,5,13,2,4,0,10.416666666666666,-0.0873984560078447,0.7656423631045796,1.0,-0.3048155739921532,-0.2667720924316345,0.2725512859610007,121.32220163021084,24.9777342973054,1.0,1.54,0.74,311.0,0.87,389.0,1.95,708.0,5.58,261.0,0.03,0.03,0.13,0.11,0.06,0.12,7.0,18.0,2.72,90,1.59,11.58,1868.59,101.89,0.005368094
2611,PU-2612,1,-0.1323182798502859,5,5,2,4,1,36.833333333333336,-0.7337539624181085,-0.8193256863726953,0.0,-0.1860012257891716,-0.6797048641476695,-0.4384519028208025,121.48221025884806,25.06254577804681,2.0,0.79,0.49,355.0,0.43,230.0,0.42,269.0,4.92,1556.0,0.12,0.43,0.27,0.16,0.11,0.12,20.0,18.0,5.88,60,5.51,3.85,1946.61,147.86,0.005073707
2612,PU-2613,0,0.9521000710582712,2,5,2,4,1,38.25,0.1780382052913036,-0.8193256863726953,0.0,0.3336701019462515,0.4823084314664616,-0.4384519028208025,121.58527778657752,25.04095044043156,2.0,0.52,0.27,133.0,0.43,145.0,0.25,160.0,2.61,644.0,0.05,0.3,0.41,0.11,0.04,0.04,20.0,85.0,2.12,20,1.87,2.59,9126.87,166.1,0.006299707
2613,PU-2614,12,0.9423905120111078,9,9,10,4,2,0.25,-0.644125998862552,0.9556531526617966,1.0,-0.8957755106493656,-0.8281559019133514,0.7657697142150446,121.73610739500889,25.124391785686186,4.0,0.61,0.98,87.0,1.24,29.0,1.24,112.0,2.17,63.0,0.24,0.34,0.65,7.3,0.12,0.24,7.0,0.0,1.23,45,19.6,15.22,2723.18,196.12,0.004434616
2614,PU-2615,1,-0.8455142321388309,5,5,2,4,1,25.33333333333333,-1.2801398171702514,-0.8193256863726953,0.0,-1.314454642412254,-0.9151789240518546,-0.056260999541695,121.45326843162678,25.01139313485118,2.0,0.69,0.51,390.0,0.46,263.0,0.58,741.0,0.84,150.0,0.11,0.34,0.41,0.28,0.09,0.11,6.0,57.0,1.17,67,1.48,1.1,1946.61,147.86,0.005073707
2615,PU-2616,5,-0.2341965491595071,5,11,2,4,0,23.666666666666668,-0.2505673127371914,-0.8193256863726953,0.0,-0.102548290741839,0.1495733468192435,-0.4384519028208025,121.29146467271713,25.039966501337275,2.0,4.59,0.75,291.0,1.78,518.0,1.5,429.0,3.87,216.0,0.09,0.25,0.42,0.08,0.03,0.09,16.0,77.0,5.31,92,6.01,8.37,1868.59,101.89,0.005368094
2616,PU-2617,1,0.0394255541869152,8,13,10,4,0,4.666666666666667,-0.2746979183098413,1.0823270123666082,1.0,-0.5138722485683522,-0.3008987677800672,-0.148072222117123,121.3491916770944,24.956312440675028,2.0,0.66,0.28,142.0,0.78,500.0,2.36,493.0,2.58,212.0,0.12,0.41,0.13,0.1,0.09,0.12,11.0,70.0,13.2,77,13.58,13.21,1946.61,147.86,0.005073707
2617,PU-2618,4,-0.9154518975528044,3,14,2,4,0,24.08333333333333,0.0424471835021281,-0.2770997747094171,1.0,0.0728443185101818,-0.2735974275013212,-0.4384519028208025,120.63938409832994,24.171547959386658,4.0,5.48,0.11,129.0,0.38,222.0,1.68,308.0,1.1,417.0,0.02,0.6,0.34,0.16,0.05,0.02,18.0,90.0,1.31,15,0.81,7.0,1270.7,111.76,0.005039031
2618,PU-2619,0,-0.7948034163232005,4,8,10,4,2,4.083333333333333,-1.1945336212101367,-0.8193256863726953,0.0,-1.7235154697968058,-0.9168852578192762,0.0163339206342247,121.56984174424124,25.04599392127833,0.0,0.68,0.14,146.0,0.5,154.0,0.52,751.0,2.44,581.0,0.04,0.13,0.13,0.07,0.06,0.11,16.0,143.0,1.07,20,1.07,3.82,9126.87,166.1,0.006299707
2619,PU-2620,4,-0.7060715054268464,10,15,10,4,0,0.6666666666666666,-0.609653705187338,0.3052910192992891,1.0,-0.8352367713268939,-0.7769658888907024,-0.2292077211372689,120.72773996446954,24.15946946926221,4.0,2.89,0.96,294.0,1.43,252.0,1.76,339.0,1.75,9.0,0.3,1.73,0.91,0.02,0.22,0.23,5.0,32.0,8.21,2,6.7,12.47,1270.7,111.76,0.005039031
2620,PU-2621,1,0.1959801770414249,8,12,4,4,0,0.1666666666666666,-0.0615442357514343,0.6188860622270541,1.0,-0.3113220740127927,-0.1831617378279745,-0.2163968528709302,121.37852353480244,24.936360429308102,2.0,3.07,0.54,276.0,0.99,528.0,1.34,220.0,1.14,212.0,0.15,0.41,0.39,0.21,0.16,0.15,8.0,110.0,12.1,58,12.51,12.18,1946.61,147.86,0.005073707
2621,PU-2622,1,0.8298413411748063,5,5,2,4,1,32.666666666666664,0.3980863465847532,-0.8193256863726953,0.0,0.8165655599997994,1.156310269598006,1.4233942852204369,121.4905901514934,24.988911923772708,2.0,1.55,0.11,280.0,0.41,416.0,0.41,304.0,1.9,35.0,0.07,0.7,0.74,0.1,0.28,0.09,8.0,43.0,3.65,61,3.7,3.89,1946.61,147.86,0.005073707
2622,PU-2623,0,-1.444166227945246,7,26,2,0,0,6.666666666666667,-1.2473911381787983,-0.8193256863726953,0.0,-1.5645305562490062,-0.7684342200535943,-0.4384519028208025,121.50201939439876,25.039593902767297,2.0,0.51,0.18,81.0,0.47,164.0,1.12,833.0,1.29,1201.0,0.0,0.16,0.02,0.08,0.02,0.01,28.0,134.0,6.3,29,1.79,1.76,9126.87,166.1,0.006299707
2623,PU-2624,0,1.782291403152735,3,7,10,4,2,38.41666666666666,-0.7492664945719549,-0.8193256863726953,0.0,-0.7616850319631432,-0.4288738003366895,-0.4384519028208025,121.5713685045221,24.999033090782017,2.0,0.2,0.45,70.0,1.27,198.0,0.27,434.0,1.54,948.0,0.2,0.45,0.82,0.34,0.2,0.2,5.0,214.0,4.35,27,4.2,7.04,9126.87,166.1,0.006299707
2624,PU-2625,7,-0.1202293981653277,4,12,10,4,0,3.333333333333333,-0.7366266535577097,0.8073520486171392,1.0,-0.9379263151308996,-0.7872038914952323,-0.4384519028208025,120.25084784832848,22.95545111153285,3.0,3.19,0.74,105.0,0.35,217.0,3.93,285.0,0.95,91.0,0.15,0.2,0.54,2.98,0.2,0.15,5.0,6.0,7.81,31,5.91,4.93,845.48,156.53,0.00456428
2625,PU-2626,1,-0.2729146175381709,4,24,2,5,0,6.25,1.1501568869323402,1.0313485078512572,1.0,0.9399061690867044,0.1598113494237734,1.6283681774818564,121.494605931772,25.061593169713426,2.0,0.4,0.51,119.0,0.6,486.0,0.82,427.0,5.39,1556.0,0.06,0.36,0.04,0.22,0.03,0.02,28.0,101.0,6.27,60,5.87,2.71,1946.61,147.86,0.005073707
2626,PU-2627,1,0.2130199724979568,5,5,2,4,1,36.333333333333336,-0.6498713811417544,-0.8193256863726953,0.0,-0.1404557256446948,-0.1268527235030606,-0.4384519028208025,121.49402633480828,25.085122267785184,2.0,1.21,0.4,266.0,0.31,317.0,0.5,551.0,7.65,3550.0,0.04,0.53,0.3,0.1,0.1,0.04,14.0,70.0,8.64,60,8.26,4.73,1946.61,147.86,0.005073707
2627,PU-2628,1,-0.9246327182360136,5,7,2,4,2,25.5,-1.293928734640337,-0.8193256863726953,0.0,-1.3325596859479465,-1.6420771089734696,-0.4384519028208025,121.46614673438572,25.02934645713511,2.0,0.36,0.87,293.0,0.24,466.0,1.49,212.0,0.92,1556.0,0.22,0.75,0.33,0.25,0.19,0.21,23.0,37.0,1.93,67,1.62,1.72,1946.61,147.86,0.005073707
2628,PU-2629,1,-0.8017250821786042,3,10,2,4,2,25.5,-1.0009142384010177,0.2141476324385102,1.0,-0.8952097280388751,-1.0465666241433202,0.0504962360111282,121.44745873824807,25.051315225589253,2.0,1.29,0.05,529.0,0.44,629.0,1.75,212.0,2.44,427.0,0.04,0.33,0.27,0.1,0.07,0.02,25.0,125.0,4.7,66,4.53,4.46,1946.61,147.86,0.005073707
2629,PU-2630,1,1.105049659613092,4,4,2,4,1,43.083333333333336,0.0728977095819005,-0.8193256863726953,0.0,0.9650834952535268,0.3014370521197688,-0.4384519028208025,121.4525637769882,25.04078197078379,2.0,0.52,0.56,276.0,0.47,403.0,0.47,212.0,2.09,427.0,0.1,0.4,0.34,0.0,0.07,0.12,14.0,48.0,3.43,66,3.26,3.18,1946.61,147.86,0.005073707
2630,PU-2631,0,0.6019551063104428,4,4,2,4,1,45.66666666666666,-0.7762697912842059,-0.8193256863726953,0.0,-0.3169799001176968,-0.3060177690823321,-0.4384519028208025,121.5630602903421,25.04971224801597,2.0,0.27,0.29,206.0,0.22,162.0,0.22,344.0,2.71,581.0,0.05,0.42,0.16,0.18,0.04,0.09,34.0,147.0,1.35,28,1.51,4.43,9126.87,166.1,0.006299707
2631,PU-2632,1,-0.5713633904284542,15,15,2,4,0,3.9166666666666665,-0.7619063355862,0.4937570056893744,1.0,-0.8884203367129904,-1.0363286215387906,-0.4384519028208025,121.43058505824422,25.18841124123758,4.0,0.52,0.98,95.0,1.51,296.0,1.51,372.0,0.57,184.0,0.03,1.34,1.36,0.07,0.86,0.03,6.0,115.0,19.91,73,19.66,17.87,1946.61,147.86,0.005073707
2632,PU-2633,0,-1.3656966480220076,8,14,2,4,0,17.333333333333332,-1.2950778110961778,-0.8193256863726953,0.0,-1.6646740783058054,-1.0926376358637042,-0.1651533798055748,121.5252935357268,25.064241343207705,2.0,0.22,0.1,210.0,0.26,70.0,0.38,348.0,0.48,94.0,0.06,0.1,0.02,0.11,0.02,0.06,37.0,239.0,4.93,18,1.92,2.0,9126.87,166.1,0.006299707
2633,PU-2634,1,1.3200058381225694,14,28,2,0,0,9.166666666666666,1.5126905087500078,0.6884022047479872,1.0,1.2663627353396592,0.4225867496067045,0.699580228172294,121.52965845097911,24.972743991001224,2.0,0.13,1.01,222.0,0.94,278.0,0.39,545.0,0.87,4272.0,0.03,0.03,0.71,0.15,0.05,0.09,7.0,31.0,7.86,65,7.82,8.07,1946.61,147.86,0.005073707
2634,PU-2635,1,-0.5474019291165187,13,15,2,4,0,14.166666666666666,-0.2861886828682458,0.5957140147200763,1.0,-0.6199564880353006,0.97202622271647,-0.2783160494915675,121.46220666075732,24.99328215888806,2.0,1.13,0.12,279.0,1.2,215.0,0.54,307.0,0.94,51.0,0.05,0.31,0.64,0.06,0.05,0.05,15.0,77.0,2.1,67,2.45,2.31,1946.61,147.86,0.005073707
2635,PU-2636,0,-0.5140673786253913,5,9,2,4,2,13.5,-0.4562519983326353,0.6420581097340318,2.0,-0.8824796193028412,-0.7223632083332103,1.3230424838007822,121.57504080990496,25.083394991891502,2.0,0.37,0.27,161.0,0.21,568.0,0.36,319.0,1.02,42.0,0.05,0.68,0.34,0.05,0.05,0.05,11.0,145.0,5.19,21,5.25,4.61,9126.87,166.1,0.006299707
2636,PU-2637,3,1.8118286508481904,10,12,2,4,0,8.916666666666666,1.9648520941232328,2.2702806478909983,2.0,1.3939467140052415,0.7792105069978255,1.8055851884995435,121.02176235056288,24.81326597641728,4.0,1.87,0.4,252.0,0.76,518.0,1.33,244.0,6.47,654.0,0.12,0.59,0.37,2.1,0.08,0.12,6.0,2.0,1.89,82,4.71,2.08,406.65,86.71,0.006554591
2637,PU-2638,1,-1.130840680178245,15,15,10,4,0,4.75,-0.7377757300135501,-0.8193256863726953,0.0,-0.9294395759735438,-1.1011693047008124,0.5970932820415835,121.5165745577168,25.015366730075115,1.0,0.2,0.39,241.0,0.98,268.0,0.98,380.0,3.91,35.0,0.05,0.36,0.15,0.12,0.04,0.05,22.0,75.0,5.23,70,4.94,3.62,1946.61,147.86,0.005073707
2638,PU-2639,0,0.4519616458813674,2,5,2,4,1,42.0,-0.1454268170277887,-0.8193256863726953,0.0,0.495201037241258,0.9873832266232646,-0.4384519028208025,121.54801162947965,25.084363956664383,2.0,0.56,0.46,123.0,0.77,255.0,0.77,346.0,0.21,1682.0,0.12,0.26,0.12,0.05,0.12,0.12,11.0,177.0,5.45,18,4.81,5.12,9126.87,166.1,0.006299707
2639,PU-2640,1,0.0145748510810566,15,15,10,4,0,9.5,0.0177420397015581,1.3186818969377805,1.0,-0.2015602475776573,-0.7752595551232808,0.8255537661246255,121.46045718783924,25.058064652783205,2.0,0.39,0.53,307.0,0.42,324.0,1.65,522.0,3.86,427.0,0.07,0.69,0.07,0.04,0.06,0.09,10.0,63.0,5.14,66,4.86,4.91,1946.61,147.86,0.005073707
2640,PU-2641,0,-0.7290716242588647,3,7,2,4,2,36.583333333333336,-0.7688007943212428,-0.8193256863726953,0.0,-1.077957511227271,-0.4459371380109059,-0.4384519028208025,121.54786142344383,25.052829592121828,1.0,0.37,0.41,449.0,0.18,620.0,0.71,1151.0,1.71,750.0,0.07,0.14,0.12,0.12,0.06,0.07,28.0,165.0,2.38,28,1.37,3.17,9126.87,166.1,0.006299707
2641,PU-2642,4,-0.3976728378694207,7,11,2,4,0,27.08333333333333,-0.3241082059109815,-0.8193256863726953,1.0,-0.0980220298579156,-0.2155820794089857,-0.4384519028208025,120.69117835060295,24.176943760803287,4.0,1.16,0.46,195.0,0.63,441.0,1.77,360.0,2.57,407.0,0.05,0.66,0.12,0.36,0.09,0.06,11.0,14.0,4.8,2,3.82,10.47,1270.7,111.76,0.005039031
2642,PU-2643,0,0.2062184744525428,5,7,10,4,2,41.25,-0.952653027255718,-0.8193256863726953,0.0,-0.7721520102572152,-1.0312096202365255,-0.4384519028208025,121.507560192726,25.02784756100418,2.0,0.92,0.45,255.0,0.49,147.0,0.59,981.0,1.08,1201.0,0.08,0.33,0.03,0.12,0.1,0.08,13.0,188.0,5.84,19,2.51,2.43,9126.87,166.1,0.006299707
